web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556481244-2133","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@CraigRSawyer","Craig Sawyer  🌐","Gun Control agenda brutally dismantled. This is epic... https://fb.me/2v4SjBpY2","31","310","517","1520389379000","6:22 PM - 6 Mar 2018","/CraigRSawyer/status/971209565688729600","null"
"1556481244-2440","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@karinatheobald2","karina theobald","Teenagers SHOULD be the ones leading the gun control discussion. Since 2007 (Virginia tech), my generation has lived through 13/20 of the deadliest mass shootings in the US. I was barely 13 years old when I saw Sandy Hook on the news. We've seen too much and we've had enough.","1","3","79","1520258055000","5:54 AM - 5 Mar 2018","/karinatheobald2/status/970658755087040514","null"
"1556481244-2342","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@NBCNews","NBC News","Sen. Cruz is caught in election-year bind on gun control. http://nbcnews.to/2FiedBI","66","31","70","1520290745000","2:59 PM - 5 Mar 2018","/NBCNews/status/970795864506675200","null"
"1556481244-2306","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@No3rdWaveFem","❌NotASpookyFeminist","I joined the @NRA a little over a week ago. Although I have my CCW, I never saw the need. Now I do. They don’t want gun control, they want a ban. Once they take away one type of weapon, they will come back for others. They’re called Progressives for a reason, but not a good one.","1","8","35","1520303321000","6:28 PM - 5 Mar 2018","/No3rdWaveFem/status/970848613214703616","null"
"1556481244-2467","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@FoxNews","Fox News","Jane Harman on gun control: ""It's not a debate between guns or no guns, it's a debate about what level of protection can we give kids in school?"" #FoxNewsSundaypic.twitter.com/Py8DVwb3ft","47","43","142","1520233920000","11:12 PM - 4 Mar 2018","/FoxNews/status/970557524075208704","null"
"1556481244-2399","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@DakotaEFlynn","Dakota Flynn  🇺🇸","Dear Celebrities, 
   
Pls stop lecturing us about:
-Gun control, while you have armed security
-Walls, when you live behind one
-Global warming, while you fly around in private jets
-Pretty much anything

Just stop, nobody cares about your opinions, we just want good movies.","1","29","56","1520271044000","9:30 AM - 5 Mar 2018","/DakotaEFlynn/status/970713232372654081","null"
"1556481244-2325","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Celeste_pewter","Celeste P.","I tend to have the news on around the clock, and I have yet to see a detailed story about today being the original deadline for Dreamers, the Senate refusing to take on gun control, OR this latest attempt to roll back Dodd-Frank. 

Instead, it's been wall-to-wall Nunberg.","3","18","30","1520296935000","4:42 PM - 5 Mar 2018","/Celeste_pewter/status/970821828959551488","null"
"1556481244-2308","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@olliethebee","cloutless mouse","this one woman was arguing with me about gun control and she said “learn to respect adults before you say anything else” and i’m like?? i’ll respect adults that respect my right to live and learn in a safe environment.","2","4","16","1520302324000","6:12 PM - 5 Mar 2018","/olliethebee/status/970844430730186752","null"
"1556481244-2051","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Thom_Hartmann","Thom Hartmann","Funny thing how countries with gun control don't worry about school mass shootings... https://twitter.com/cjmarley/status/971425024996495361 …","24","55","141","1520441858000","8:57 AM - 7 Mar 2018","/Thom_Hartmann/status/971429678530543616","null"
"1556481244-2450","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Patriot261","Patriot26","They wear gun control pins, yet they have armed security. They wear black to support #MeToo, yet they don’t fix the root of the sexual harassment problem

They say our ‘thoughts & prayers’ don’t work, but they expect to change the world by wearing a color or pin
#MondayMotivation","5","28","49","1520252418000","4:20 AM - 5 Mar 2018","/Patriot261/status/970635111279579143","null"
