web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556483330-5250","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@f_francavilla","FrancescoFrancavilla","EMMA GONZALEZ
As a young woman literally making history as I type this, high school senior, American activist and advocate for gun control @Emma4Change is my choice for #Day31 of #WomensHistoryMonth & #BiHealthMonth #BHAM. Thank U all who RTed this thread to spread the good word.pic.twitter.com/izI72ZFSFN","2","43","133","1522551293000","7:54 PM - 31 Mar 2018","/f_francavilla/status/980277290826436608","null"
"1556483330-5162","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@SafetyPinDaily","SafetyPin-Daily","These states are responding to the Parkland shooting by trying to do something about gun control | via Thinkprogress https://thinkprogress.org/states-responding-parkland-shooting-with-gun-control-laws-0cfca1690fc9/ …","","24","46","1522626504000","4:48 PM - 1 Apr 2018","/SafetyPinDaily/status/980592748649746432","null"
"1556483330-5014","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@GovtsTheProblem","Mr T 2","Stories like this are why I loathe the Media.
Denver had 9 year homicide high in 2015. 10 year high in 2016. 11 year high in 2017. And for first 3 months of 2018, Denver has over twice number of homicides than 2017. AFTER 2013 gun control laws.
#copoliticshttps://www.denverpost.com/2018/04/02/guns-homicides-data/ …","3","11","25","1522756074000","4:47 AM - 3 Apr 2018","/GovtsTheProblem/status/981136205608771585","null"
"1556483330-5131","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@CitizensMandate","Citizens Mandate",".@SpeakerRyan & GOP establishment have betrayed conservatives—funded Planned Parenthood & sanctuary cities, passed gun control, refused to fund the wall, bailed out Obamacare

And now they’re trying to trick voters into supporting them in midterms! #DrainTheSwamp #ResignPaulRyanpic.twitter.com/fLqBonSJHY","4","23","19","1522667857000","4:17 AM - 2 Apr 2018","/CitizensMandate/status/980766196722118656","null"
"1556483330-5280","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@HilaryMCurrie","Hilary Currie Photos & Graphic Design","Rebecca, you seriously believe that? Too many B movies. I live in a country with gun control regulations; we can still own guns if we want. Gun owners must register fire arms and for persons with mental illness & history of crime, it is illegal. What is wrong with that?","","","5","1522541159000","5:05 PM - 31 Mar 2018","/HilaryMCurrie/status/980234784222793728","null"
"1556483330-5208","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@AP4Liberty","Austin Petersen","Would you like to see a public debate with me and the head of @MomsDemand over gun control and the #2ndAmendment?https://twitter.com/AP4Liberty/status/980455531453263873 …","129","88","373","1522593842000","7:44 AM - 1 Apr 2018","/AP4Liberty/status/980455753671696384","null"
"1556483330-5211","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@KyleKashuv","Kyle Kashuv","But Piers, gun control totally worked and made everyone safer! (It didn't because criminals bought knives) https://twitter.com/piersmorgan/status/980453925458345987 …","173","575","2.2K","1522593501000","7:38 AM - 1 Apr 2018","/KyleKashuv/status/980454323963486208","null"
"1556483330-4969","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@ChangeTheRef","Change the Ref","How the #NeverAgain Movement Is Disrupting Gun Politics https://www.thenation.com/article/how-the-neveragain-movement-is-disrupting-gun-politics/ … #ChangeTheRef #GunControl #GunReformNow #whatif #ParklandStrong #MarchForOurLives","4","38","174","1522777860000","10:51 AM - 3 Apr 2018","/ChangeTheRef/status/981227581742768128","null"
"1556483330-5230","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@thinkprogress","ThinkProgress","These states are responding to the Parkland shooting by trying to do something about gun control http://bit.ly/2GIh3E5 pic.twitter.com/FhoRWsr8JL","","24","45","1522575011000","2:30 AM - 1 Apr 2018","/thinkprogress/status/980376770351452160","null"
"1556483330-5086","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@tracymelchior","Tracy Melchior","Before we expect #Parkland teens to lead the conversation on gun control. Remember experts say after a traumatic event:  ""Avoid things related to the event"" ""Don't make any major life changes"" #MarchForOurLives","3","72","97","1522696851000","12:20 PM - 2 Apr 2018","/tracymelchior/status/980887804304506880","null"
