web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556485398-7328","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@Lrihendry","Lori Hendry","In reference to gun control, Democrats say “If it saves just one life“ why don’t they apply that to enhanced interrogation? #Haspel","30","117","300","1525896530000","1:08 PM - 9 May 2018","/Lrihendry/status/994308230485602305","null"
"1556485398-7419","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@JDugudichi","DUGUDICHI","Nazi Gun Control- Led to all out gun confiscations and genocide - be sure you see through the liberals agenda here and dont let history repeat itself pic.twitter.com/avPy5Z26Ty","","18","22","1525716193000","11:03 AM - 7 May 2018","/JDugudichi/status/993551845363798017","null"
"1556485398-7304","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@JaySaqqa","Yanni","catching up with my cousin in the waiting room of the Dr’s office on LI, neither of us acknowledging the fact that our last interaction was a long winded & public Facebook argument about gun control","","1","18","1525882922000","9:22 AM - 9 May 2018","/JaySaqqa/status/994251154333884416","null"
"1556485398-7773","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@thinkprogress","ThinkProgress","Trump to speak at NRA convention after claiming gun lobbying group has no control over him http://bit.ly/2JJHOG9 pic.twitter.com/n2xoRZFjaz","5","33","34","1525173311000","4:15 AM - 1 May 2018","/thinkprogress/status/991274831156072448","null"
"1556485398-7634","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@JohnRLottJr","John R Lott Jr.","Ahead of NRA speeches by Trump, Pence hypocritical media get it wrong on gun ban https://fxn.ws/2KzKxTH  #2A #NRAAM #NRA #MediaBias #GunControl #GunFreeZone #MGLC @realDonaldTrump @mike_pence @VP","10","51","167","1525437049000","5:30 AM - 4 May 2018","/JohnRLottJr/status/992381030152790017","null"
"1556485398-7698","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@davism0llie","Mollie Davis",".@GovLarryHogan Hi Governor! Both myself and kids up in Montgomery County have been trying to reach out to you about organizing a meeting w/students about school safety & gun control but haven’t gotten a response. We would really like to speak with you.","6","19","55","1525314681000","7:31 PM - 2 May 2018","/davism0llie/status/991867782122926081","null"
"1556485398-7429","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@biker4marriage","SandyLee","Illinois counties form 'sanctuaries' for gun owners to thwart state's push for gun control. It’s a great thing when reps make a smart move to protect citizens #Constitutional rights rather than diminish them. #2AShallNotBeInfringedhttp://www.foxnews.com/politics/2018/05/07/illinois-counties-form-sanctuaries-for-gun-owners-to-thwart-states-push-for-gun-control.html …","3","34","43","1525704561000","7:49 AM - 7 May 2018","/biker4marriage/status/993503053574787073","null"
"1556485398-7289","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@JaseLemons","jase","as a solution to the gun control argument we should simply replace all firearms with nerf guns bc its nerf or nothin in america bitch","2","6","19","1525902832000","2:53 PM - 9 May 2018","/JaseLemons/status/994334663257686016","null"
"1556485398-7349","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@waltb31","waltb31","GUNS: Family friend: 4-year-old Henrico boy fatally shot himself accidentally http://www.richmond.com/news/local/crime/family-friend--year-old-henrico-boy-fatally-shot-himself/article_17d10807-9d3a-52ae-8a71-35f367e44aa2.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @rtdnews #Enough #NoMore #NRAKillsKids #GunControl","3","37","18","1525838168000","8:56 PM - 8 May 2018","/waltb31/status/994063444834947072","null"
"1556485398-7772","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@MarcusCVance","Marcus Vance","A great sea beast had eaten his brother, and he demanded action. He got together with others grieving from beast violence and petitioned for ""seabeast-free zones,"" and a outlawed assaults from seabeasts. 
 #vss365 #SockItTueMe #vss #GunControl","2","4","35","1525174097000","4:28 AM - 1 May 2018","/MarcusCVance/status/991278127325286400","null"
"1556485398-7402","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@SenWarren","Elizabeth Warren","Massachusetts has some of the strictest gun control laws in the country – and one of the lowest gun fatality rates as a result. Congress should follow Massachusetts’ lead and put tougher gun laws in place at the federal level. #EnoughIsEnoughhttps://www.huffingtonpost.com/entry/toughest-gun-law-america_us_5aeb27a9e4b041fd2d23d3f7 …","540","3.6K","12K","1525740031000","5:40 PM - 7 May 2018","/SenWarren/status/993651829564035072","null"
"1556485398-7287","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@SaraGonzalesTX","Sara Gonzales","Illinois counties form 'sanctuaries' for gun owners to thwart state's push for gun control #2A https://fxn.ws/2KDSWWe  #FoxNews","1","32","60","1525881936000","9:05 AM - 9 May 2018","/SaraGonzalesTX/status/994247018691248128","null"
"1556485398-7450","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@ChinaDaily","China Daily","Trump's support for NRA #ChinaDailyCartoon #NRA #guncontrol pic.twitter.com/aW2NU3iJts","9","18","73","1525655280000","6:08 PM - 6 May 2018","/ChinaDaily/status/993296355614314497","null"
"1556485398-7592","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@PramilaJayapal","Pramila Jayapal","After Parkland, there were about two precious microseconds where the president indicated he might take action on gun control. 

Now he's firmly back in lockstep with the NRA. Thanks for showing us what the opposite of courage looks like, @realDonaldTrump.https://www.reuters.com/article/us-usa-guns-trump/trump-back-in-step-with-nra-after-doubts-over-parkland-shooting-idUSKBN1I50ZR …","4","25","63","1525470120000","2:42 PM - 4 May 2018","/PramilaJayapal/status/992519737480433664","null"
"1556485398-7727","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@al3xw1nd","Alex Wind","In the very first split seconds of this video, you can clearly see N*kolas Cruz being shown. It seems quite contradictory to show a murderer of 17 who killed with an AR-15 then speak about gun rights. It isn’t about gun rights or gun control, it’s about stopping mass shootings. https://twitter.com/foxnews/status/991614087896485888 …","18","165","649","1525274459000","8:20 AM - 2 May 2018","/al3xw1nd/status/991699078085009408","null"
